TALX,TALY,TALZ,BA,MNIX,MNIY,MNIZ
-60,-2,-28,Outside defined BAs,-62,3,-35
-58,-2,-28,Outside defined BAs,-60,3,-35
-56,-2,-28,Left-Temporalpole (38),-58,3,-35
-54,-2,-28,Left-Temporalpole (38),-56,2,-35
-52,-2,-28,Left-Temporalpole (38),-54,2,-35
-50,-2,-28,Left-Temporalpole (38),-52,2,-36
-48,-2,-28,Left-InfTempGyrus (20),-50,2,-36
-46,-2,-28,Left-InfTempGyrus (20),-48,2,-36
-44,-2,-28,Left-InfTempGyrus (20),-46,2,-36
-42,-2,-28,Left-InfTempGyrus (20),-43,2,-36
-40,-2,-28,Left-InfTempGyrus (20),-41,2,-36
-62,0,-28,Outside defined BAs,-64,5,-35
-60,0,-28,Outside defined BAs,-62,5,-35
-58,0,-28,Outside defined BAs,-60,5,-35
-56,0,-28,Outside defined BAs,-58,5,-35
-54,0,-28,Left-Temporalpole (38),-56,5,-35
-52,0,-28,Left-Temporalpole (38),-54,5,-35
-50,0,-28,Left-Temporalpole (38),-52,5,-35
-48,0,-28,Left-Temporalpole (38),-50,5,-36
-46,0,-28,Left-Temporalpole (38),-48,5,-36
-44,0,-28,Left-Temporalpole (38),-45,5,-36
-42,0,-28,Left-Temporalpole (38),-43,5,-36
-40,0,-28,Left-Temporalpole (38),-41,5,-36
-62,2,-28,Outside defined BAs,-64,8,-35
-60,2,-28,Outside defined BAs,-62,8,-35
-58,2,-28,Outside defined BAs,-60,8,-35
-56,2,-28,Outside defined BAs,-58,8,-35
-54,2,-28,Outside defined BAs,-56,8,-35
-52,2,-28,Left-Temporalpole (38),-54,8,-35
-50,2,-28,Left-Temporalpole (38),-53,8,-35
-48,2,-28,Left-Temporalpole (38),-50,8,-35
-46,2,-28,Left-Temporalpole (38),-47,8,-36
-44,2,-28,Left-Temporalpole (38),-45,8,-35
-42,2,-28,Left-Temporalpole (38),-43,8,-36
-40,2,-28,Left-Temporalpole (38),-41,8,-36
-60,4,-28,Outside defined BAs,-62,10,-35
-58,4,-28,Outside defined BAs,-60,10,-35
-56,4,-28,Outside defined BAs,-58,10,-35
-54,4,-28,Outside defined BAs,-56,10,-35
-52,4,-28,Left-Temporalpole (38),-54,10,-35
-50,4,-28,Left-Temporalpole (38),-52,10,-35
-48,4,-28,Left-Temporalpole (38),-50,10,-35
-46,4,-28,Left-Temporalpole (38),-47,10,-35
-44,4,-28,Left-Temporalpole (38),-45,10,-35
-42,4,-28,Left-Temporalpole (38),-43,10,-35
-40,4,-28,Left-Temporalpole (38),-41,10,-35
-38,4,-28,Left-Temporalpole (38),-39,9,-36
-58,6,-28,Outside defined BAs,-60,12,-35
-56,6,-28,Outside defined BAs,-58,12,-35
-54,6,-28,Outside defined BAs,-56,12,-35
-52,6,-28,Outside defined BAs,-54,12,-35
-50,6,-28,Left-Temporalpole (38),-52,12,-35
-48,6,-28,Left-Temporalpole (38),-49,12,-35
-46,6,-28,Left-Temporalpole (38),-47,12,-35
-44,6,-28,Left-Temporalpole (38),-45,12,-35
-42,6,-28,Left-Temporalpole (38),-43,12,-35
-40,6,-28,Left-Temporalpole (38),-41,12,-35
-38,6,-28,Left-Temporalpole (38),-39,12,-35
-58,8,-28,Outside defined BAs,-60,14,-35
-56,8,-28,Outside defined BAs,-58,14,-35
-54,8,-28,Outside defined BAs,-56,14,-35
-64,-8,-26,Outside defined BAs,-67,-4,-33
-58,-8,-26,Outside defined BAs,-61,-4,-33
-56,-8,-26,Left-InfTempGyrus (20),-59,-4,-33
-54,-8,-26,Left-InfTempGyrus (20),-57,-4,-33
-52,-8,-26,Left-InfTempGyrus (20),-55,-4,-33
-64,-6,-26,Outside defined BAs,-67,-2,-33
-60,-6,-26,Outside defined BAs,-63,-2,-33
-58,-6,-26,Outside defined BAs,-61,-2,-33
